Column,Missing Values,Missing Percentage
order_id,0,0.0
customer_id,0,0.0
order_status,0,0.0
order_purchase_timestamp,0,0.0
order_approved_at,177,0.15
order_delivered_carrier_date,2086,1.75
order_delivered_customer_date,3421,2.87
order_estimated_delivery_date,0,0.0
customer_unique_id,0,0.0
customer_zip_code_prefix,0,0.0
customer_city,0,0.0
customer_state,0,0.0
order_item_id,833,0.7
product_id,833,0.7
seller_id,833,0.7
shipping_limit_date,833,0.7
price,833,0.7
freight_value,833,0.7
product_category_name,833,0.7
product_name_lenght,2542,2.13
product_description_lenght,2542,2.13
product_photos_qty,2542,2.13
product_weight_g,853,0.72
product_length_cm,853,0.72
product_height_cm,853,0.72
product_width_cm,853,0.72
product_category_name_english,2567,2.15
seller_zip_code_prefix,833,0.7
seller_city,833,0.7
seller_state,833,0.7
payment_sequential,3,0.0
payment_type,3,0.0
payment_installments,3,0.0
payment_value,3,0.0
review_id,997,0.84
review_score,997,0.84
review_comment_title,105154,88.26
review_comment_message,68898,57.83
review_creation_date,997,0.84
review_answer_timestamp,997,0.84
has_review_title,997,0.84
has_review_message,997,0.84
purchase_year,0,0.0
purchase_month,0,0.0
purchase_month_name,0,0.0
purchase_quarter,0,0.0
purchase_weekday,0,0.0
purchase_hour,0,0.0
order_processing_days,177,0.15
shipping_days,2101,1.76
delivery_days,3422,2.87
total_delivery_days,3421,2.87
delivery_delay_days,3421,2.87
on_time_delivery,0,0.0
total_order_value,833,0.7
freight_percentage,833,0.7
high_value_order,0,0.0
customer_purchase_count,0,0.0
repeat_customer,0,0.0
customer_lifetime_value,0,0.0
seller_revenue,833,0.7
seller_order_count,833,0.7
average_product_price,833,0.7
product_sales_count,833,0.7
average_review_score,1049,0.88
positive_review,0,0.0
installment_payment,0,0.0
