,price,freight_value,payment_value,review_score,total_order_value,customer_lifetime_value,seller_revenue,total_delivery_days,delivery_delay_days,shipping_days,order_processing_days
price,1.0,0.4159383400883747,0.7392361237648764,-0.00449178327949333,0.9971603115116647,0.5019799171857705,0.07047126083072035,0.06138885713235349,-0.0031502240773778395,0.060205258248551274,0.011775198057726793
freight_value,0.4159383400883747,1.0,0.37376213613117865,-0.037012731258764156,0.48324186948566605,0.2761125220098976,0.024962396867967956,0.21286980162211808,-0.04057120211575154,0.08230031285866642,0.02566559847342587
payment_value,0.7392361237648764,0.37376213613117865,1.0,-0.08234323673427364,0.7426263529898355,0.5293460856801894,0.06501793115066795,0.06044947882235143,-0.019448447923347666,0.08239186720100379,0.033971798024787406
review_score,-0.00449178327949333,-0.037012731258764156,-0.08234323673427364,1.0,-0.007406649176182741,-0.05170178464638058,-0.02192381162153075,-0.3027496662536701,-0.2284486631036942,-0.14857644974048925,-0.024929560517846654
total_order_value,0.9971603115116647,0.48324186948566605,0.7426263529898355,-0.007406649176182741,1.0,0.5061293019846104,0.06991097244437497,0.07674309988760401,-0.006394429336208065,0.06479545808086523,0.013461586903764778
customer_lifetime_value,0.5019799171857705,0.2761125220098976,0.5293460856801894,-0.05170178464638058,0.5061293019846104,1.0,0.049271997716978946,0.04268887331110367,-0.01658441459683614,0.05225081950346428,0.04732878788253561
seller_revenue,0.07047126083072035,0.024962396867967956,0.06501793115066795,-0.02192381162153075,0.06991097244437497,0.049271997716978946,1.0,0.0692142945222424,0.034409269806322536,0.04962384780199612,0.014483878441872242
total_delivery_days,0.06138885713235349,0.21286980162211808,0.06044947882235143,-0.3027496662536701,0.07674309988760401,0.04268887331110367,0.0692142945222424,1.0,0.5982783371753463,0.3933114354022338,0.07860348588807799
delivery_delay_days,-0.0031502240773778395,-0.04057120211575154,-0.019448447923347666,-0.2284486631036942,-0.006394429336208065,-0.01658441459683614,0.034409269806322536,0.5982783371753463,1.0,0.19056792241041415,0.03661669267597506
shipping_days,0.060205258248551274,0.08230031285866642,0.08239186720100379,-0.14857644974048925,0.06479545808086523,0.05225081950346428,0.04962384780199612,0.3933114354022338,0.19056792241041415,1.0,-0.04389162588739249
order_processing_days,0.011775198057726793,0.02566559847342587,0.033971798024787406,-0.024929560517846654,0.013461586903764778,0.04732878788253561,0.014483878441872242,0.07860348588807799,0.03661669267597506,-0.04389162588739249,1.0
