,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,company,days_in_waiting_list,average_daily_rate,required_car_parking_spaces,total_of_special_requests,hotel_label,total_stay_duration,total_guests
lead_time,1.0,0.14068758816427815,0.10227769135653586,0.009868043624435385,0.25544649302569244,0.3533867236175239,,,,,-0.08217088985187102,,0.0200933359700463,0.14894585325668638,0.12504726492691884,0.03630897074939789,-0.0887188897013413,0.040717688345237854,0.032755353336391325,0.3641418919688442,
arrival_date_year,0.14068758816427815,1.0,-0.5138933640896064,-0.009941891264161338,0.005018048885791304,0.003703997039230037,,,,,0.027245589020368277,,-0.020400874274501025,0.2493448641230226,-0.027496824066393123,0.1866635336211352,-0.04006492041333886,0.06428109872152263,-0.0799985101224992,0.00476619482596555,
arrival_date_week_number,0.10227769135653586,-0.5138933640896064,1.0,0.09327928731217276,0.03182420665034584,0.03984374007515526,,,,,-0.020921379990302125,,0.017852576728967014,-0.09392265766702868,0.013158971094685284,0.10557792266290393,0.009055579729481482,0.04673655431395485,0.01855382390765252,0.04228267229801889,
arrival_date_day_of_month,0.009868043624435385,-0.009941891264161338,0.09327928731217276,1.0,-0.01639736824905928,-0.02448312438456571,,,,,0.0001576837869065228,,0.008745361383926814,0.031060118948337007,0.006083488247878483,0.02212864735812275,0.009021611978232194,-0.0016548508431286366,0.008382080416018258,-0.024700781404083032,
stays_in_weekend_nights,0.25544649302569244,0.005018048885791304,0.03182420665034584,-0.01639736824905928,1.0,0.48816449549080265,,,,,-0.058601250017468076,,0.1298752772157548,0.05171355573514853,-0.032699259428763554,0.049242159527169746,-0.04344156657245092,0.03411885070735162,0.16522348347973714,0.7655299577217429,
stays_in_week_nights,0.3533867236175239,0.003703997039230037,0.03984374007515526,-0.02448312438456571,0.48816449549080265,1.0,,,,,-0.06451543081882054,,0.17430914073550127,0.16928952773942715,0.0032048302447348154,0.07811831375602715,-0.04611160920663281,0.04485598373707612,0.22647755910192785,0.9352331704841355,
adults,,,,,,,,,,,,,,,,,,,,,
children,,,,,,,,,,,,,,,,,,,,,
babies,,,,,,,,,,,,,,,,,,,,,
previous_cancellations,,,,,,,,,,,,,,,,,,,,,
previous_bookings_not_canceled,-0.08217088985187102,0.027245589020368277,-0.020921379990302125,0.0001576837869065228,-0.058601250017468076,-0.06451543081882054,,,,,1.0,,0.02282622368093333,-0.22408629300888103,-0.006333901900651955,-0.09447115594618416,0.04071477603079109,0.02705783892024705,-0.0054556928997659855,-0.0713329896047205,
booking_changes,,,,,,,,,,,,,,,,,,,,,
agent,0.0200933359700463,-0.020400874274501025,0.017852576728967014,0.008745361383926814,0.1298752772157548,0.17430914073550127,,,,,0.02282622368093333,,1.0,0.42519309745272893,-0.021538590675687266,-0.0710561162078104,0.18669186195585924,-0.0031293540965311208,0.8333126532530936,0.18204372734675434,
company,0.14894585325668638,0.2493448641230226,-0.09392265766702868,0.031060118948337007,0.05171355573514853,0.16928952773942715,,,,,-0.22408629300888103,,0.42519309745272893,1.0,0.026001017882756782,0.111398179206534,-0.0006698451916767571,-0.10125076637535747,0.37077226185864903,0.15039182607980567,
days_in_waiting_list,0.12504726492691884,-0.027496824066393123,0.013158971094685284,0.006083488247878483,-0.032699259428763554,0.0032048302447348154,,,,,-0.006333901900651955,,-0.021538590675687266,0.026001017882756782,1.0,-0.03555801931597408,-0.015996544080637554,-0.04943706736518624,-0.03429122627922439,-0.010901850181242526,
average_daily_rate,0.03630897074939789,0.1866635336211352,0.10557792266290393,0.02212864735812275,0.049242159527169746,0.07811831375602715,,,,,-0.09447115594618416,,-0.0710561162078104,0.111398179206534,-0.03555801931597408,1.0,0.03614032641862392,0.150643121075331,-0.13455662113422465,0.07756463340405756,
required_car_parking_spaces,-0.0887188897013413,-0.04006492041333886,0.009055579729481482,0.009021611978232194,-0.04344156657245092,-0.04611160920663281,,,,,0.04071477603079109,,0.18669186195585924,-0.0006698451916767571,-0.015996544080637554,0.03614032641862392,1.0,0.048486748242465176,0.21656259141953113,-0.05161599191908897,
total_of_special_requests,0.040717688345237854,0.06428109872152263,0.04673655431395485,-0.0016548508431286366,0.03411885070735162,0.04485598373707612,,,,,0.02705783892024705,,-0.0031293540965311208,-0.10125076637535747,-0.04943706736518624,0.150643121075331,0.048486748242465176,1.0,-0.01884059643335304,0.046908566899138276,
hotel_label,0.032755353336391325,-0.0799985101224992,0.01855382390765252,0.008382080416018258,0.16522348347973714,0.22647755910192785,,,,,-0.0054556928997659855,,0.8333126532530936,0.37077226185864903,-0.03429122627922439,-0.13455662113422465,0.21656259141953113,-0.01884059643335304,1.0,0.233984297546603,
total_stay_duration,0.3641418919688442,0.00476619482596555,0.04228267229801889,-0.024700781404083032,0.7655299577217429,0.9352331704841355,,,,,-0.0713329896047205,,0.18204372734675434,0.15039182607980567,-0.010901850181242526,0.07756463340405756,-0.05161599191908897,0.046908566899138276,0.233984297546603,1.0,
total_guests,,,,,,,,,,,,,,,,,,,,,
